Regno,Compound,Chemotype,Smiles,>90,>80,>70,AAK1,ABL1-nonphosphorylated,ABL1-phosphorylated,ABL2,ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADCK3,ADCK4,AKT1,AKT2,AKT3,ALK,AMPK-alpha1,AMPK-alpha2,ANKK1,ARK5,ASK1,ASK2,AURKA,AURKB,AURKC,AXL,BIKE,BLK,BMPR1A,BMPR1B,BMPR2,BMX,BRAF,BRK,BRSK1,BRSK2,BTK,BUB1,CAMK1,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CDC2L1,CDC2L2,CDC2L5,CDK11,CDK2,CDK3,CDK4,CDK4-cyclinD1,CDK4-cyclinD3,CDK5,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL5,CHEK1,CHEK2,CIT,CLK1,CLK2,CLK3,CLK4,CSF1R,CSF1R-autoinhibited,CSK,CSNK1A1,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CSNK2A1,CSNK2A2,CTK,DAPK1,DAPK2,DAPK3,DCAMKL1,DCAMKL2,DCAMKL3,DDR1,DDR2,DLK,DMPK,DMPK2,DRAK1,DRAK2,DYRK1A,DYRK1B,DYRK2,EGFR,EIF2AK1,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,ERBB2,ERBB3,ERBB4,ERK1,ERK2,ERK3,ERK4,ERK5,ERK8,ERN1,FAK,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3-autoinhibited,FLT4,FRK,FYN,GAK,"GCN2(Kin.Dom.2,S808G)",GRK1,GRK2,GRK3,GRK4,GRK7,GSK3A,GSK3B,HASPIN,HCK,HIPK1,HIPK2,HIPK3,HIPK4,HPK1,HUNK,ICK,IGF1R,IKK-alpha,IKK-beta,IKK-epsilon,INSR,INSRR,IRAK1,IRAK3,IRAK4,ITK,JAK1(JH1domain-catalytic),JAK1(JH2domain-pseudokinase),JAK2(JH1domain-catalytic),JAK3(JH1domain-catalytic),JNK1,JNK2,JNK3,KIT,KIT-autoinhibited,LATS1,LATS2,LCK,LIMK1,LIMK2,LKB1,LOK,LRRK2,LTK,LYN,LZK,MAK,MAP3K1,MAP3K15,MAP3K2,MAP3K3,MAP3K4,MAP4K2,MAP4K3,MAP4K4,MAP4K5,MAPKAPK2,MAPKAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MEK1,MEK2,MEK3,MEK4,MEK5,MEK6,MELK,MERTK,MET,MINK,MKK7,MKNK1,MKNK2,MLCK,MLK1,MLK2,MLK3,MRCKA,MRCKB,MST1,MST1R,MST2,MST3,MST4,MTOR,MUSK,MYLK,MYLK2,MYLK4,MYO3A,MYO3B,NDR1,NDR2,NEK1,NEK10,NEK11,NEK2,NEK3,NEK4,NEK5,NEK6,NEK7,NEK9,NIK,NIM1,NLK,OSR1,PAK1,PAK2,PAK3,PAK4,PAK6,PAK7,PCTK1,PCTK2,PCTK3,PDGFRA,PDGFRB,PDPK1,PFTAIRE2,PFTK1,PHKG1,PHKG2,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK4CB,PIKFYVE,PIM1,PIM2,PIM3,PIP5K1A,PIP5K1C,PIP5K2B,PIP5K2C,PKAC-alpha,PKAC-beta,PKMYT1,PKN1,PKN2,PLK1,PLK2,PLK3,PLK4,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKR,PRKX,PRP4,PYK2,QSK,RAF1,RET,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK4,RIPK5,ROCK1,ROCK2,ROS1,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5(Kin.Dom.2-C-terminal),RSK1(Kin.Dom.1-N-terminal),RSK1(Kin.Dom.2-C-terminal),RSK2(Kin.Dom.1-N-terminal),RSK2(Kin.Dom.2-C-terminal),RSK3(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.2-C-terminal),RSK4(Kin.Dom.1-N-terminal),RSK4(Kin.Dom.2-C-terminal),S6K1,SBK1,SGK,SGK2,SGK3,SIK,SIK2,SLK,SNARK,SNRK,SRC,SRMS,SRPK1,SRPK2,SRPK3,STK16,STK33,STK35,STK36,STK39,SYK,SgK110,TAK1,TAOK1,TAOK2,TAOK3,TBK1,TEC,TESK1,TGFBR1,TGFBR2,TIE1,TIE2,TLK1,TLK2,TNIK,TNK1,TNK2,TNNI3K,TRKA,TRKB,TRKC,TRPM6,TSSK1B,TSSK3,TTK,TXK,TYK2(JH1domain-catalytic),TYK2(JH2domain-pseudokinase),TYRO3,ULK1,ULK2,ULK3,VEGFR2,VPS34,VRK2,WEE1,WEE2,WNK1,WNK2,WNK3,WNK4,YANK1,YANK2,YANK3,YES,YSK1,YSK4,ZAK,ZAP70,p38-alpha,p38-beta,p38-delta,p38-gamma
GSK2358994,UNC10225469A,morpholino-triazolo-pyrimidinones,Clc1cccc(Cn2c(nn3c2nc(cc3=O)N2CCOCC2)C2CC2)c1Cl,2,3,3,14,28,20,5,0,0,0,0,9,11,0,12,0,0,0,5,0,0,0,0,0,0,4,0,3,0,0,15,0,13,19,0,0,3,0,0,0,0,0,0,5,25,10,18,0,5,3,8,26,0,0,0,0,0,5,0,0,0,7,5,0,0,20,0,0,0,15,0,0,27,25,14,0,0,0,8,0,0,7,11,0,5,23,16,0,0,26,12,6,0,7,17,21,0,0,0,0,11,9,2,0,1,0,0,7,0,0,11,6,0,0,9,0,0,7,3,33,0,9,0,0,11,0,0,0,13,0,0,3,15,0,1,0,0,9,6,10,0,10,0,6,11,0,0,0,0,0,0,4,0,0,0,16,0,16,0,14,0,4,0,0,0,0,0,0,0,0,0,4,9,3,6,0,19,0,0,0,15,0,27,23,9,8,15,0,0,0,0,0,0,14,0,0,0,19,11,0,0,0,1,0,0,0,0,4,4,17,13,22,0,6,17,3,34,0,0,0,0,0,0,0,0,14,0,0,0,14,41,4,0,0,0,14,0,0,0,0,0,0,0,20,0,7,5,11,0,8,21,0,0,0,22,0,16,0,0,0,13,0,0,0,3,0,2,14,0,0,8,0,70,64,8,100,82,45,0,0,0,22,0,0,0,0,0,25,5,0,2,0,0,0,16,9,0,33,0,4,0,13,0,17,14,0,0,0,0,0,0,0,8,13,25,37,0,0,16,7,0,0,0,0,16,0,0,0,17,0,18,0,17,0,21,15,0,30,20,0,0,0,46,0,0,22,0,17,0,0,10,0,0,3,0,0,0,0,0,0,0,26,13,14,0,10,0,0,25,0,10,0,5,0,1,0,0,0,0,0,0,7,11,0,35,0,10,0,0,100,0,0,0,0,0,0,0,0,0,0,9,0,0,12,10,0,8,4,23
GSK2593074,UNC10225012A,4-amino-3-aryl-thienopyridine and analogues,Cn1cc(cn1)-c1cnc(N)c2c(csc12)-c1ccc2N(CCc2c1)C(=O)Cc1ccccc1,27,36,42,0,99.7,89,81,7,9,0,0,0,7,0,14,0,8,0,17,0,0,3,21,17,24,97.8,92.2,95.9,0,93,1,6,6,57,0,92.2,0,7,0,0,0,0,11,0,29,12,0,13,0,11,19,23,4,1,0,18,0,1,0,0,0,2,19,19,0,9,0,4,0,9,0,0,15,19,0,0,99.9,39,20,21,0,0,1,21,7,22,0,1,62,38,21,7,0,0,5,97.7,24,0,0,81,0,9,0,0,8,3,7,11,0,0,11,0,11,6,8,6,2,4,9,98.3,0,4,0,0,0,0,0,15,11,28,7,10,14,28,40,49,0,75,79,99,0,31,38,25,11,91.2,0,0,0,7,6,5,0,0,86,21,0,7,0,94,0,100,0,0,0,59,12,13,0,5,0,23,0,0,26,0,13,0,0,100,32,1,23,93.8,49,55,0,98.9,3,0,65,0,0,4,35,75,64,82,36,97.6,0,98.8,0,0,0,5,0,9,25,36,23,23,56,99.8,7,0,90,79,16,0,0,0,0,14,25,14,10,10,97.8,12,100,7,33,0,24,4,55,0,0,45,10,2,0,22,47,28,1,0,5,0,0,0,0,0,17,0,17,0,13,0,17,3,0,0,6,98.2,100,56,0,0,6,14,13,35,8,0,0,3,100,0,0,15,1,0,0,1,0,9,0,8,0,7,0,41,16,19,9,0,0,0,0,6,0,0,0,0,8,0,0,6,1,0,34,33,0,6,100,96.1,100,55,0,11,0,1,38,0,2,9,42,0,9,0,7,0,18,16,0,21,6,0,42,9,69,12,0,81,55,3,0,0,24,0,4,0,0,16,8,33,0,0,0,23,14,53,6,4,84,84,31,5,8,19,62,0,79,80,66,15,0,0,7,9,0,0,63,0,0,0,65,0,0,3,5,0,0,0,0,0,0,0,55,6,43,59,0,8,1,0,14
GSK350559,UNC10225159A,4-pyrimidinyl_ortho-aryl_azoles,CS(=O)(=O)Cc1ccc(Nc2nccc(n2)-c2c(nn3ncccc23)-c2cccc(NC(=O)C3CCCCC3)c2)cc1,5,10,12,0,8,15,5,18,0,0,0,0,24,0,23,4,0,29,2,2,0,0,0,34,9,15,49,18,1,0,0,19,24,37,20,2,0,0,0,98.7,0,0,0,0,15,8,0,0,0,0,0,34,0,27,30,0,0,0,18,15,18,4,6,0,0,0,5,0,33,12,0,10,10,10,24,0,79,35,10,7,0,0,20,2,5,4,17,1,38,0,9,0,0,15,0,96.6,54,41,0,35,0,0,26,0,5,68,22,6,51,16,14,0,2,15,15,2,3,5,0,42,25,22,74,2,0,0,3,0,0,33,0,8,0,0,41,16,6,27,63,88,25,52,4,1,14,0,0,44,0,0,5,0,20,17,1,5,14,23,0,14,7,14,68,0,12,32,42,20,24,3,25,6,0,0,16,43,43,49,36,88,14,0,48,23,22,14,0,81,20,0,16,0,0,30,38,15,19,11,36,0,0,10,0,39,37,0,0,5,39,32,19,42,16,98.3,0,0,12,10,0,21,25,13,3,2,7,13,0,0,11,11,44,3,23,18,0,31,0,0,0,0,0,17,0,22,15,10,32,25,15,4,18,0,0,32,1,22,7,8,0,13,19,2,20,0,12,53,93.9,1,0,18,4,9,0,27,12,4,0,4,45,2,12,10,17,0,100,12,83,31,0,3,10,0,15,3,13,6,0,0,3,23,25,0,0,18,0,3,0,5,1,0,34,0,34,28,0,36,13,5,44,39,37,21,21,0,35,0,16,11,33,13,11,12,0,17,9,24,34,46,40,0,0,0,53,7,16,30,3,29,0,0,12,4,9,81,37,4,0,2,11,0,0,29,29,10,0,0,3,0,16,0,0,29,13,0,39,16,27,0,14,8,0,17,0,12,18,5,20,18,29,0,49,0,0,0,14,0,44,26,13,3,36,0,16,15,22,2,6,0,43
GSK361065,UNC10225310A,4-pyrimidinyl_ortho-aryl_azoles,COc1cccc(OC)c1C(=O)Nc1cccc(c1)-c1nn2ccccc2c1-c1ccnc(Nc2cccc(F)c2)n1,12,19,19,0,28,18,100,17,15,7,27,7,0,0,4,0,0,0,25,4,93.2,0,22,0,32,0,70,30,0,41,9,21,0,21,17,19,0,16,0,11,19,0,13,0,27,6,0,0,0,4,0,15,0,0,1,0,0,0,0,0,7,21,22,0,0,15,6,3,0,13,0,36,21,21,0,0,60,4,18,25,0,9,64,14,17,3,0,23,21,10,6,0,16,0,16,99.3,57,0,2,84,12,12,0,24,0,91.7,0,4,11,0,0,11,11,14,17,100,0,8,8,42,61,0,84,1,6,1,9,2,3,10,1,24,20,11,0,0,0,23,32,49,0,27,16,22,6,0,0,0,0,0,17,24,0,0,30,31,0,0,84,2,15,0,7,0,0,4,0,0,0,0,0,93.8,0,4,3,0,44,0,0,90.9,11,6,10,24,31,15,6,90,0,13,8,8,14,0,0,7,43,14,5,0,21,67,11,8,17,8,7,14,9,28,41,30,0,93.2,3,0,50,34,0,0,0,0,2,4,10,10,0,3,20,23,61,7,0,0,3,87,0,0,28,13,17,13,0,0,0,4,7,0,10,17,0,0,0,0,90,0,6,10,0,10,24,0,0,0,3,0,90.2,4,2,3,1,2,0,24,0,0,1,0,0,42,10,0,13,0,0,0,0,23,0,5,0,13,0,10,0,16,26,14,11,21,17,17,1,2,11,0,0,0,0,8,0,29,90.1,43,2,19,17,38,9,32,0,14,4,8,14,0,0,36,0,0,13,6,15,0,12,0,0,18,26,65,25,0,41,91.2,0,21,0,28,0,4,29,26,0,92,11,3,16,16,62,15,60,61,26,1,0,17,19,12,19,0,6,31,29,8,0,0,0,4,20,0,5,6,0,0,79,0,13,0,18,0,0,9,12,0,0,0,0,0,11,0,36,1,0,66,0,21,90,11,24
GSK955403,UNC10225187A,diarylurea,Cc1ccc(NC(=O)Nc2cccc(c2)C(F)(F)F)cc1,3,4,4,26,49,23,3,10,85,2,0,0,5,0,12,3,0,0,0,0,0,0,20,0,0,0,19,0,4,0,94.6,0,1,0,0,0,0,0,0,0,7,0,25,10,32,25,8,4,5,9,19,15,3,0,0,20,0,0,0,0,0,0,12,0,0,14,0,4,0,5,0,29,3,36,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,18,3,24,0,0,13,43,65,0,0,0,15,0,0,0,0,0,0,17,0,0,6,0,0,2,3,5,3,0,0,21,0,17,0,0,0,0,0,5,0,0,1,0,0,1,0,5,0,0,23,59,0,12,0,0,0,0,2,0,0,0,10,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,12,0,12,0,0,58,26,46,91.4,3,0,20,6,0,10,16,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,4,21,5,3,15,0,0,26,15,29,0,0,0,0,30,0,0,13,6,0,0,0,0,57,16,0,0,0,32,22,0,9,0,15,17,7,24,0,3,5,0,0,0,0,0,8,0,15,0,24,5,0,4,36,1,0,2,0,0,45,14,1,5,12,15,1,36,5,0,0,9,0,0,5,15,21,0,0,0,0,14,14,0,16,0,0,0,0,9,8,0,0,11,24,18,0,1,19,0,13,1,10,0,0,8,0,17,0,0,7,8,0,0,0,0,0,0,1,3,6,1,6,0,0,7,27,0,23,2,0,22,7,0,0,0,5,0,0,15,0,17,5,0,30,0,0,10,3,19,0,13,0,0,0,33,7,36,6,0,13,38,20,3,3,17,2,0,0,0,0,0,0,8,19,38,24,0,16,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,39,0,10,57,0,46
GW345098,UNC10225062A,6-aminopurines and related,CCn1cnc2c(N)ncnc12,0,1,1,0,33,35,12,7,0,0,0,8,19,0,0,0,0,0,29,0,0,0,15,0,4,6,4,0,5,12,24,15,35,41,0,8,5,0,0,3,9,0,10,0,6,8,0,0,1,8,2,31,1,6,0,0,0,1,0,0,0,28,20,7,0,25,0,0,0,12,0,6,30,18,69,1,0,0,0,28,14,21,55,9,0,16,12,19,51,14,5,18,7,7,25,18,0,0,0,9,6,9,0,28,12,15,0,6,14,0,7,16,17,3,1,7,0,17,14,25,0,10,0,2,19,0,0,2,5,25,7,0,14,0,7,0,0,12,9,13,0,13,10,15,0,6,0,0,0,0,0,6,9,25,30,33,5,30,0,0,4,0,3,0,4,0,10,0,0,10,0,16,10,19,7,17,16,0,0,20,7,0,21,5,26,27,26,25,0,16,0,3,0,18,6,9,20,11,19,1,0,0,0,10,0,12,4,0,5,26,20,26,11,1,0,0,25,2,5,0,0,0,1,6,12,4,0,2,8,0,7,20,0,0,2,29,2,7,12,0,15,8,0,39,0,13,3,12,10,29,14,0,6,0,37,0,9,0,58,6,13,11,0,0,0,0,24,11,3,2,4,13,27,31,29,0,0,21,1,0,0,0,0,0,0,0,0,8,14,5,20,0,0,7,18,27,0,18,9,13,0,9,0,23,13,0,0,0,1,8,13,3,0,30,6,8,11,1,6,38,12,22,0,5,25,0,0,7,11,0,14,0,24,0,26,17,0,25,22,0,19,2,18,0,0,20,12,24,19,18,12,10,0,5,0,3,0,4,16,4,0,39,11,4,0,12,6,2,22,0,17,7,10,4,24,0,7,81,20,6,0,8,23,0,32,0,21,0,0,1,0,2,14,0,0,0,0,0,0,0,21,0,5,12,3,5,4,0,49
GW557777,UNC10225296A,4-anilinoquinoline,Cc1ccc(O)cc1Nc1ccnc2cc(ccc12)-c1ccc(CN2CCCCC2)o1,45,53,53,10,100,99.9,100,99.4,79,18,94.7,90.3,4,88,0,3,0,0,0,0,0,0,37,0,0,0,15,0,4,99.7,61,99.9,0,50,22,99.5,0,0,19,0,4,0,4,6,0,13,10,8,0,10,9,2,20,4,0,7,0,8,0,0,7,0,0,0,0,7,0,5,0,13,0,40,24,0,0,0,96.7,0,82,84,44,27,34,6,5,7,0,0,27,16,3,1,25,10,0,98.1,94.5,0,0,7,10,0,0,0,2,46,0,99.7,94.5,94.9,96.2,99.8,90,0,99.7,100,98.9,95.3,99.7,83,0,7,0,0,0,0,8,20,0,23,0,11,7,25,21,0,2,100,89,43,8,68,99.9,99.7,99.6,0,0,0,0,13,0,0,0,0,99.4,0,0,0,0,37,32,0,0,0,0,0,0,4,0,0,0,56,1,7,0,15,0,0,0,100,56,0,22,99.7,6,8,0,17,19,0,95.3,0,0,67,7,29,7,0,29,0,2,3,0,0,8,8,0,0,0,17,30,2,0,97.9,15,0,13,0,38,0,0,0,0,2,0,2,0,0,0,5,0,17,0,0,3,9,0,2,4,0,0,4,0,0,0,11,3,0,0,0,9,0,0,0,19,0,24,23,0,13,21,7,0,0,8,95.3,99.7,0,0,15,9,7,0,16,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,96.5,97.8,95.1,0,0,1,0,0,5,41,7,100,16,0,21,12,91,4,12,0,0,11,0,9,0,10,0,90.7,0,40,1,29,0,87,0,0,1,0,0,97.8,83,34,11,0,100,23,32,0,15,22,61,0,0,0,69,0,35,0,0,0,0,21,0,47,98,61,57,23,5,24,0,26,20,42,0,0,0,0,0,0,98.3,63,0,59,0,0,0,93.6,0,0,5,0,0,0,0,0,10,0,0,99.8,0,13,75,0,15,6,0,18
GW630823,UNC10225430A,4-anilinoquinoline,Cc1ccc(O)cc1Nc1cc(nc2ccc(cc12)-c1ccncc1)C(F)(F)F,1,2,2,0,21,7,14,11,0,0,0,0,10,0,5,1,0,0,0,0,0,0,30,0,0,0,5,0,7,12,0,0,0,17,0,11,3,0,0,0,8,0,14,1,20,2,2,16,0,11,16,1,17,0,0,0,5,0,0,0,0,0,0,0,5,20,0,0,0,34,0,0,40,16,0,20,3,0,0,4,23,15,0,6,1,5,0,2,2,16,17,11,25,0,15,40,0,0,0,4,21,11,0,7,0,15,0,6,17,0,5,3,5,88,68,12,3,0,18,9,0,0,0,2,5,9,5,9,7,0,3,1,6,0,4,0,5,22,14,27,0,13,14,7,4,0,0,0,0,0,0,5,0,0,18,8,0,0,9,0,3,0,5,0,0,0,0,0,0,56,0,19,0,0,0,0,0,0,0,14,0,0,0,14,21,15,0,5,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,9,0,4,0,0,5,0,0,0,0,0,21,6,0,0,0,0,12,4,2,0,0,0,0,19,44,18,0,0,0,6,4,0,6,0,0,6,0,0,0,2,0,0,6,8,58,42,0,0,10,0,21,10,0,21,20,7,0,2,0,0,10,0,34,5,14,5,0,15,1,0,0,0,0,0,4,3,11,0,0,0,0,10,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,29,7,0,0,8,0,17,0,0,9,14,0,13,13,17,0,15,0,0,5,8,0,0,9,0,0,0,0,0,5,4,14,0,0,14,3,0,4,11,26,0,0,18,0,7,0,0,28,24,0,0,0,8,0,0,0,5,0,5,92.1,6,5,0,0,3,21,0,1,0,17,14,0,0,0,0,0,0,3,10,0,0,36,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,23,0,0,10,0,8,0,7,31
GW857175,UNC10225266A,2-aryl-4-anilino(pyridin-4-yl)-quinazoline and analogues,Cc1cccc(n1)-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1,7,9,12,0,19,14,3,0,100,0,0,0,0,0,29,55,0,19,0,2,0,1,0,13,0,3,22,26,33,3,60,34,18,15,16,2,0,0,10,65,0,0,0,0,15,3,0,0,0,0,0,45,12,9,20,0,0,0,0,23,0,3,8,0,0,0,7,4,18,4,0,9,33,14,4,12,7,33,0,0,0,28,28,15,0,18,94,98.3,18,10,20,28,0,14,0,39,17,0,4,72,13,10,24,11,40,0,5,12,1,0,0,0,0,0,0,11,0,0,0,43,0,18,0,0,4,0,9,3,21,35,0,11,0,5,0,0,0,0,12,13,32,6,3,0,0,5,3,40,0,10,4,14,21,68,0,0,20,35,3,54,0,17,0,6,17,21,9,0,9,3,18,5,18,83,22,60,36,32,31,3,30,1,50,10,6,2,14,19,15,0,17,10,0,38,0,36,0,14,39,0,0,0,0,28,16,0,0,0,1,25,24,19,51,40,0,25,11,2,19,12,0,0,0,2,22,7,0,72,0,0,0,10,27,0,0,32,7,32,0,0,26,5,0,54,7,4,18,27,8,3,5,0,11,30,1,25,0,2,0,6,4,0,23,2,15,19,0,39,0,9,0,16,8,43,0,7,18,0,23,85,5,38,0,0,0,42,0,34,0,19,10,0,11,12,15,8,11,0,0,33,27,99.8,99.9,98.1,0,2,0,0,13,0,4,8,13,39,8,29,0,0,44,35,29,52,17,0,33,0,5,15,50,18,23,14,1,35,15,26,5,25,6,9,0,0,16,15,10,28,25,16,0,28,17,0,0,15,14,5,0,0,33,9,19,35,3,5,98.3,0,17,49,23,0,4,0,10,0,52,12,17,19,72,51,3,0,11,36,0,12,8,18,23,0,0,4,0,0,51,40,50,17,0,59,13,0,19,0,31,0,32,0,50
GW869979,UNC10225324A,benzimidazole_N-thiophenes,COc1cc2ncn(-c3cc(OCc4ccc(cc4)S(C)(=O)=O)c(s3)C(N)=O)c2cc1OC,3,4,4,0,0,13,14,51,0,0,0,4,31,0,0,0,0,26,0,0,20,0,18,37,0,0,0,31,0,46,11,30,8,6,6,0,4,0,0,28,0,0,0,0,3,6,0,0,0,0,0,37,0,14,31,0,0,0,9,14,16,0,0,0,0,0,0,0,15,18,0,29,17,1,0,0,0,5,0,0,0,0,13,0,10,3,19,0,15,0,0,9,1,19,0,20,2,13,0,10,0,23,22,20,1,25,7,0,0,7,0,0,0,22,17,9,9,0,0,38,0,11,0,10,2,6,0,0,12,6,2,0,0,0,5,4,0,0,0,4,14,15,0,0,7,0,10,45,0,1,0,3,0,40,0,0,9,2,26,10,2,19,6,0,7,25,13,0,26,4,21,16,2,11,18,30,36,18,18,0,21,0,39,12,11,16,25,20,29,0,26,3,0,8,0,9,0,0,26,0,0,0,0,31,0,10,0,0,5,30,25,28,6,81,0,8,0,9,38,6,0,12,0,4,0,0,0,0,0,0,44,7,14,6,0,46,0,8,0,0,25,4,0,29,14,0,14,14,20,1,0,0,7,45,4,25,0,0,0,0,0,0,19,0,26,30,11,0,0,0,10,0,0,29,0,30,16,26,18,14,0,0,0,0,39,16,0,0,0,0,8,0,98.3,98.9,92.3,3,0,20,0,12,0,0,0,18,0,0,0,0,0,0,27,0,26,0,8,0,18,0,35,3,45,32,0,0,38,0,14,1,0,26,0,0,7,27,6,19,37,40,24,5,0,0,29,15,2,11,14,25,0,13,2,27,0,0,0,0,0,0,18,0,0,34,12,0,0,0,0,0,5,0,37,5,18,0,50,31,44,0,0,22,0,0,17,11,19,6,6,22,20,33,2,0,0,0,58,0,51,7,0,0,28,0,57,0,17,1,1,0,24
