,chembl_id,IC50,units,canonical_smiles,pIC50
1777,CHEMBL207869,77.0,nM,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc4ncccn4)cc2Cl)c1,7.113509274827518
5785,CHEMBL3940060,330.0,nM,Fc1ccc(Nc2ncnc3cc4OC(=O)N(CCOC(=O)CCl)c4cc23)cc1Cl,6.481486060122113
6373,CHEMBL3678951,1.0,nM,CC(C)n1c(Nc2cccc(c2)C(F)(F)F)nc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc13,9.0
2442,CHEMBL504034,40.0,nM,CS(=O)(=O)CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,7.3979400086720375
1084,CHEMBL158797,43000.0,nM,Cn1c(SSc2c(C(=O)NCC(O)CO)c3ccccc3n2C)c(C(=O)NCC(O)CO)c4ccccc14,4.366531544420414
6596,CHEMBL4069003,3.0,nM,NP(=O)(OCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,8.522878745280337
2986,CHEMBL599047,0.85,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CN4Sc5ccccc5C4=O)cc23)c1,9.070581074285707
1263,CHEMBL93545,53.0,nM,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.275724130399211
1099,CHEMBL93181,10.0,nM,COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.0
1690,CHEMBL203644,0.3,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745280337
3047,CHEMBL591706,32120.0,nM,CCCCN(Cc1cccc(Cl)c1O)C(=O)Nc2ccccc2,4.493224463393356
1888,CHEMBL217536,60.0,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)C4CCSS4)cc23)c1,7.221848749616356
2821,CHEMBL498134,16.0,nM,CN1CCN(CC1)\N=C\c2c(N)ncnc2Nc3ccc4c(cnn4Cc5cccc(F)c5)c3,7.795880017344075
2091,CHEMBL248674,402.1,nM,COc1cc2ncnc(Nc3cccc(c3)C#CCCO)c2cc1OC,6.395665926897089
2678,CHEMBL129579,4.7860000000000005,nM,OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.320027305722581
91,CHEMBL78150,460000.0,nM,CC(C)(C)c1cc(C=C(C#N)C#N)cc(c1O)C(C)(C)C,3.337242168318426
3342,CHEMBL1241948,100000.0,nM,CC(C)n1nc(c2cccc(NS(=O)(=O)C)c2)c3c(N)ncnc13,4.0
4864,CHEMBL3233765,3399.0,nM,CN1CCN(CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,5.46864883541694
2541,CHEMBL490266,1.8,/uM,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c3ccc(NC=C4C(=O)C=CC4=O)cc3)cc1,8.744727494896694
1530,CHEMBL103860,3300.0,nM,OC(=O)c1cc(CCc2cc(O)ccc2O)ccc1O,5.481486060122113
5523,CHEMBL3752916,310.76,nM,Cn1cnc(c1)c2cc(NC(=O)Nc3nccs3)cc(c2)C(F)(F)F,6.507574887223914
1298,CHEMBL93784,65.0,nM,COCC1CCCN1CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2,7.187086643357144
4145,CHEMBL2047247,26000.0,nM,Nc1nc2Cc3ccccc3c2c(Nc4ccc(Cl)cc4)n1,4.585026652029182
2929,CHEMBL592153,1350.0,nM,CCCCCCCCCCCCCCCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.8696662315049934
3948,CHEMBL1947122,9021.0,nM,COc1cc2ncc(C(=O)O)c(Nc3cccc(Cl)c3)c2cc1OC,5.04474531717982
4295,CHEMBL2283257,15740.0,nM,Brc1ccccc1NC(=O)\C=C\c2ccccc2,4.802995271976954
1156,CHEMBL53637,1.6,nM,Clc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,8.795880017344075
3445,CHEMBL1257911,989.0,nM,Nc1ccc2Nc3n[nH]cc3N=C(c4ccccc4Cl)c2c1,6.004803708402821
5313,CHEMBL1614725,1.0,nM,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c12,9.0
1180,CHEMBL21108,90000.0,nM,OCC1OC(C(O)C(O)C1O)n2c3c(O)cccc3c4c5C(=O)NC(=O)c5c6c7cccc(O)c7[nH]c6c24,4.045757490560675
5011,CHEMBL3335245,76700.0,nM,CCOc1cc(Br)c(Br)c(\C=N\c2ccc3NC(=O)Nc3c2)c1O,4.115204636051019
3718,CHEMBL1821893,7480.0,nM,COc1ccc(cc1)C2=NN(C(C2)c3ccc(C)cc3)c4nc(cs4)c5ccccc5,5.126098402135539
6727,CHEMBL4065503,120.0,nM,Cc1nnc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)s1,6.920818753952375
1451,CHEMBL294681,1800000.0,nM,C[S+]([O-])c1ccc(C=C(C#N)C#N)cc1,2.744727494896694
2336,CHEMBL483232,4000.0,nM,CCOc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2cccc(OC)c2)c1O,5.3979400086720375
4479,CHEMBL2385986,1200.0,nM,CCOc1ccc(cc1NC(=O)\C=C\CN(C)C)C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2,5.920818753952375
4587,CHEMBL3436359,11.4,nM,CC(=O)N1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)CC1.Cc7ccc(cc7)S(=O)(=O)O,7.943095148663527
3156,CHEMBL1095131,161600.0,nM,Nc1nc(Nc2cccc(F)c2)c3cc(Cc4ccc(Cl)cc4Cl)[nH]c3n1,3.791558643561433
1709,CHEMBL205149,10.0,nM,COc1cc(OC2CCNCC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,8.0
4572,CHEMBL2425737,19.0,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CCOc4ccccc4)cc23)c1,7.721246399047171
382,CHEMBL263666,4700.0,nM,CCN(CC)CCNC(=O)c1c([Se][Se]c2c(C(=O)NCCN(CC)CC)c3ccccc3n2C)n(C)c4ccccc14,5.327902142064283
5425,CHEMBL3740910,4.1,nM,FC(F)(F)c1cccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(CN5CCCC5)cc4)cc23)c1,8.387216143280265
1510,CHEMBL57300,7000.0,nM,Oc1ccc2C(=C(C#N)C#N)CCc2c1O,5.154901959985743
2956,CHEMBL598377,3.1,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,8.508638306165727
4450,CHEMBL2348194,2991.0,nM,C[C@@H](Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)c5ccccc5,5.5241835869686815
4661,CHEMBL3092309,165.0,nM,Fc1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)NCCN5CCCCC5)cc23)cc1Cl,6.782516055786093
4116,CHEMBL2029697,72400.0,nM,Cc1nn(C)cc1C(=O)Nc2ccn(Cc3c(F)cccc3Cl)n2,4.140261433802853
3099,CHEMBL1080812,867.0,nM,Cc1c([nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)NCCN5CCOCC5,6.06198090252379
3087,CHEMBL1088348,23500.0,nM,CC1=C(C(NC(=N1)NCc2ccccc2)c3ccc(O)cc3O)C(=O)Nc4ccc(C)cc4,4.628932137728263
